,Unnamed: 0,Company_Name,Email_Address,Phone_Number,Address
0,0,Apparel Motorcycles,,0818-0408-0655,"Jl Amalia Rubini - Pataruman Rt 02/11, Cianjur WEST JAVA, 43213"
1,1,Motorcycle,lestari@.......com,0811-5423-004,
2,2,spare part ac,tokonavita@.......com,0858-8269-5540,"jalan bintro raya no 100, Jakarta Jakarta, 12150"
3,3,CV.CENTRAL PARTS,centralparts_ichiban@.......com,021 70759717,"MALL MGK KEMAYORAN LANTAI GF Blok C11 No.3, Jakarta Jakarta, 10610"
4,4,ABA CAR PARTS,sparepart.isuzu@.......com,021 6543604,"Pasar mobil kemayoran S 103 F, Jakarta Pusat, Jakarta Jakarta, 10160"
5,5,"Prima Jaya Spare Parts, Pemasangan & Service",,061 4159525,"Jl Irian Brt 93/109, Medan"
6,6,DUNIAPART - Genset & Spare Part,duniapart@.......com,021 80875854,"jakarta, Jakarta Jakarta, 13650"
7,7,alat survey gps service spare part,fauzimauludi@.......co.id,0812-3103-5033,"Gunung Sari Indah Blok R/19 Surabaya, surabaya East Java, 60111"
8,8,Solid Spare Part,solidsparepart@.......com,031 5467936,"Today Hits,, 17125"
9,9,Spare Part Traktor,united.diesel@.......com,0622 16250168,"Jl Taman Sari Raya 56SH,, 11150"
10,10,Spare Parts Toyota Murah,sparepartstoyotamurah@.......com,021 4207472,
11,11,"MESIN (spare part, cutting tool) - Tunggal Jaya teknik",ivan.tools@.......com,,"jl amanah 236, binong, Bandung West Java, 40115"
12,12,Spare Part Forklift / PT. Raya Indo Fortuna,lina@.......com,0622 15843557,"Jl. Raya Pos Pengumben No.39B, DKI Jakarta Jakarta, 11630"
13,13,GoWork Coworking Space,seo@.......com,021 30006718,"Jl. M.H. Thamrin No. 10, Chubb Square 9th Floor, Kebon Melati, Jakarta Pusat Jakarta, 10230"
14,14,www.sumberbintangmas.com : Spare Parts & Accessories Mobil : Harga Grosir & Eceran,sumberbintangmas@.......com,,"MALL MGK KEMAYORAN LT.5 BLOCK E.10 NO.19 TLP:02144672366 081281822064 JAKARTA PUSAT, Jakarta Jakarta, 10000"
15,15,Greenhouse Coworking Space,hello@.......id,021 30436000,"Multivision Tower 25th Floor, Jl. Kuningan Mulia Lot 9B, RT.6/RW.1, Menteng Atas, RT.6/RW.1, Menteng, Jakarta Jakarta, 12980"
16,16,Bike Part Store,storebikepart@.......com,0853-5959-1354,"Jl Teuku Umar No.18 Tanjung Karang 3. Bandar Lampung 35111, Bandarlampung Lampung, 35111"
17,17,Motorcycle Insurence,,0888-6456-338,"Jl Pemuda 39, Jepara Central Java, 59412"
18,18,Sinar Safari Auto Parts,sinarsafari_autoparts@.......co.id,021 65865721,"Pasar Mobil Kemayoran Blok E No. 48-49, Kemayoran Jakarta, 10610"
19,19,Karunia Spare Part And Service,,,
20,20,Kerudung Paris,citra_tex@.......com,0817-388-998,"Malang East Java, 65117"
21,21,"Sino Cement Spare Parts Supplier Co., Ltd",sinospare@.......com,0865-9265-30228,"Unit 1204-1, No.189, Binhu Yili, Xiamen Area of Pilot Free Trade Zone (Fujian), China, Jakarta, Jakarta 10220"
22,22,Spare Division,sales@.......com,0857-9436-0258,
23,23,Bali Motorcycle Tour,balimotorcycletour@.......com,0815-2908-1222,
24,24,spareparts honda motorcycle,pujip@.......ac.id,0816-1491-830,"Jl. Raya Centex gg. Firman No. 73, East Jakarta Jakarta, 13740"
25,25,"Ningbo Yuchen Auto Parts Co., Ltd.",qqb@.......com,,"No.15, Huixin Road, Daqi Street, Beilun, Ningbo, China, Selong, Central Java 1234"
26,26,A1 Hitech Metal Parts,sales@.......in,,"Jl. Guntur Rt. 003, Kec. Pesanggrahan Jakarta, 12320"
27,27,Kingly Metal Parts Manufacturer,,,"Shajing, Bandung Banten, 10250"
